Generating SQLite file local_nsys2.sqlite from local_nsys2.nsys-rep
Processing [local_nsys2.sqlite] with [/usr/lib/x86_64-linux-gnu/nsight-systems/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     44.2      447,339,062      6,528   68,526.2   72,033.0    60,096     74,016      5,343.6  ampere_s16816gemm_bf16_64x64_ldg8_stages_64x5_tn                                                    
     20.8      210,672,772      4,448   47,363.5   33,984.0    13,472     67,776     16,430.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)  
     14.8      149,825,015      1,702   88,028.8   28,640.0    27,712  1,476,711    286,866.8  void gemv2T_kernel_val<int, int, __nv_bfloat16, float, float, float, (int)128, (int)16, (int)4, (in…
      6.1       62,082,176      1,632   38,040.5   38,017.0    37,376     39,008        235.2  linear_attention_recurrent_kernel(const float *, const float *, const float *, const float *, const…
      2.7       27,172,327      4,550    5,971.9    5,984.0     4,672      6,624        162.0  rms_norm_kernel(const float *, float *, const unsigned short *, int, int, float, bool)              
      2.3       23,323,097     17,430    1,338.1    1,088.0     1,024      2,464        304.9  f32_to_bf16_copy_kernel(const float *, unsigned short *, long)                                      
      1.5       14,937,844        544   27,459.3   28,608.0    14,273     39,776      7,544.3  full_attention_attend_kernel(const float *, const float *, const float *, const float *, float *, i…
      1.4       14,056,513      7,648    1,837.9    2,016.0     1,280      2,592        437.0  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (boo…
      0.9        9,441,797      1,088    8,678.1    8,704.0     8,224      9,376        225.7  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, floa…
      0.8        8,595,280      3,264    2,633.4    2,703.5     2,335      3,072        212.6  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, floa…
      0.8        7,832,562        128   61,191.9   61,072.5    59,841     63,041        681.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)  
      0.7        7,055,308      4,480    1,574.8    1,568.0     1,471      1,857         53.8  add_kernel(const float *, const float *, float *, int)                                              
      0.5        5,138,364         48  107,049.3  104,385.0   102,369    120,993      5,823.2  linear_attention_recurrent_batch_kernel(const float *, const float *, const float *, const float *,…
      0.5        4,759,263      2,240    2,124.7    2,144.0     2,015      2,655         76.6  silu_mul_kernel(const float *, const float *, float *, int)                                         
      0.4        4,260,920         64   66,576.9   66,464.0    64,896     68,672        771.2  ampere_s16816gemm_bf16_128x64_ldg8_stages_64x3_tn                                                   
      0.4        4,098,143      1,632    2,511.1    2,496.0     2,400      2,688         43.2  linear_attention_conv_kernel(const float *, const unsigned short *, float *, float *, int, int)     
      0.4        3,887,732        112   34,711.9   36,928.5    29,312     43,392      4,399.1  ampere_s16816gemm_bf16_64x64_sliced1x2_ldg8_stages_64x5_tn                                          
      0.4        3,719,666         64   58,119.8   57,568.0    56,576     64,512      1,418.2  ampere_s16816gemm_bf16_64x64_sliced1x2_ldg8_stages_64x6_tn                                          
      0.2        1,611,467        544    2,962.3    2,976.0     2,912      3,040         21.9  full_attention_kv_kernel(const float *, const float *, const unsigned short *, float *, float *, in…
      0.2        1,575,729        544    2,896.6    2,880.0     2,847      3,072         34.9  full_attention_q_kernel(const float *, const unsigned short *, float *, float *, int, int, int, flo…
      0.0          314,621         32    9,831.9    9,744.0     9,471     10,848        342.6  void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)         
      0.0          313,989         70    4,485.6    4,480.0     4,225      4,928        110.5  embedding_lookup_kernel(const int *, float *, const unsigned short *, int, int, int)                
      0.0          222,691         48    4,639.4    4,576.0     4,352      5,216        210.2  linear_attention_conv_batch_kernel(const float *, const unsigned short *, float *, float *, int, in…
      0.0          145,762         16    9,110.1    8,928.0     8,832     10,304        460.7  full_attention_attend_batch_kernel(const float *, const float *, const float *, const float *, floa…
      0.0           52,957         16    3,309.8    3,279.5     3,167      3,680        138.3  full_attention_q_batch_kernel(const float *, const unsigned short *, float *, float *, int, int, in…
      0.0           49,729         16    3,108.1    3,072.0     2,912      3,520        159.7  full_attention_kv_batch_kernel(const float *, const float *, const unsigned short *, float *, float…

Processing [local_nsys2.sqlite] with [/usr/lib/x86_64-linux-gnu/nsight-systems/target-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count   Avg (ns)    Med (ns)  Min (ns)   Max (ns)    StdDev (ns)           Operation          
 --------  ---------------  -----  -----------  --------  --------  -----------  -----------  ----------------------------
     99.3      863,909,967    496  1,741,754.0   7,504.0       351  135,216,547  6,336,420.5  [CUDA memcpy Host-to-Device]
      0.4        3,145,581  6,688        470.3     448.0       351        4,033        267.5  [CUDA memset]               
      0.3        2,698,256     70     38,546.5  38,337.0    37,760       62,881      2,969.1  [CUDA memcpy Device-to-Host]

