Generating SQLite file local_nsys_optB.sqlite from local_nsys_optB.nsys-rep
Processing [local_nsys_optB.sqlite] with [/usr/lib/x86_64-linux-gnu/nsight-systems/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     45.9      447,406,707      6,528  68,536.6  72,064.0    60,160     73,664      5,350.8  ampere_s16816gemm_bf16_64x64_ldg8_stages_64x5_tn                                                    
     21.6      210,605,758      4,448  47,348.4  33,952.0    13,633     67,585     16,433.7  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)  
     15.4      150,509,471      1,702  88,430.9  29,088.0    28,128  1,474,600    286,749.4  void gemv2T_kernel_val<int, int, __nv_bfloat16, float, float, float, (int)128, (int)16, (int)4, (in…
      3.4       33,609,307      1,632  20,593.9  20,577.0    20,256     21,088        123.3  linear_attention_recurrent_kernel(const float *, const float *, const float *, const float *, const…
      2.8       27,103,096      4,550   5,956.7   5,952.0     4,640      6,464        161.0  rms_norm_kernel(const float *, float *, const unsigned short *, int, int, float, bool)              
      1.6       15,701,041     12,390   1,267.2   1,088.0     1,024      2,496        260.5  f32_to_bf16_copy_kernel(const float *, unsigned short *, long)                                      
      1.5       14,930,161        544  27,445.1  28,624.0    14,273     39,776      7,530.3  full_attention_attend_kernel(const float *, const float *, const float *, const float *, float *, i…
      1.5       14,693,524      7,648   1,921.2   2,048.0     1,311      2,592        412.7  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (boo…
      1.0        9,455,561      1,088   8,690.8   8,705.0     8,224      9,312        242.2  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, floa…
      0.9        8,978,508      3,264   2,750.8   2,799.5     2,335      3,296        336.6  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, floa…
      0.8        7,841,878        128  61,264.7  61,168.5    59,936     63,265        715.2  void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)  
      0.7        6,887,368      4,480   1,537.4   1,536.0     1,471      2,240         40.9  add_kernel(const float *, const float *, float *, int)                                              
      0.5        4,639,520      2,240   2,071.2   2,048.0     1,984      2,784         57.4  silu_mul_kernel(const float *, const float *, float *, int)                                         
      0.4        4,261,691         64  66,588.9  66,417.0    65,120     68,448        852.7  ampere_s16816gemm_bf16_128x64_ldg8_stages_64x3_tn                                                   
      0.4        4,090,106      1,632   2,506.2   2,496.0     2,400      2,689         41.4  linear_attention_conv_kernel(const float *, const unsigned short *, float *, float *, int, int)     
      0.4        3,897,621        112  34,800.2  37,056.0    29,312     43,328      4,450.1  ampere_s16816gemm_bf16_64x64_sliced1x2_ldg8_stages_64x5_tn                                          
      0.4        3,724,346         64  58,192.9  57,632.0    56,801     64,416      1,437.1  ampere_s16816gemm_bf16_64x64_sliced1x2_ldg8_stages_64x6_tn                                          
      0.3        2,500,525         48  52,094.3  50,977.0    50,048     58,208      2,860.6  linear_attention_recurrent_batch_kernel(const float *, const float *, const float *, const float *,…
      0.2        1,609,097        544   2,957.9   2,944.0     2,912      3,072         22.5  full_attention_kv_kernel(const float *, const float *, const unsigned short *, float *, float *, in…
      0.2        1,578,321        544   2,901.3   2,881.0     2,848      3,104         31.2  full_attention_q_kernel(const float *, const unsigned short *, float *, float *, int, int, int, flo…
      0.0          316,736         32   9,898.0   9,759.5     9,536     10,752        384.1  void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)         
      0.0          312,990         70   4,471.3   4,448.0     4,191      4,960        119.4  embedding_lookup_kernel(const int *, float *, const unsigned short *, int, int, int)                
      0.0          222,177         48   4,628.7   4,576.0     4,320      5,152        233.5  linear_attention_conv_batch_kernel(const float *, const unsigned short *, float *, float *, int, in…
      0.0          146,976         16   9,186.0   8,944.0     8,800     10,496        576.1  full_attention_attend_batch_kernel(const float *, const float *, const float *, const float *, floa…
      0.0           53,280         16   3,330.0   3,312.0     3,136      3,648        171.9  full_attention_q_batch_kernel(const float *, const unsigned short *, float *, float *, int, int, in…
      0.0           49,505         16   3,094.1   3,072.0     2,912      3,424        163.4  full_attention_kv_batch_kernel(const float *, const float *, const unsigned short *, float *, float…

